,Accuracy,Optimiser,Hidden_Layer,Hidden_Layer1,Hidden_Layer2,Batch,F1_score,F1_score_,FN,FN_,FP,FP_,N_ReCall,N_ReCall_,P_ReCall,P_ReCall_,TN,TN_,TP,TP_
802,46.33715748786926,adam,14,9,21,10,0.61,0.41,128.0,17.0,76.0,591.0,0.9327433628318584,0.347682119205298,0.5586206896551724,0.9251101321585903,1054.0,315.0,162.0,210.0
803,57.281553745269775,sgd,14,9,21,10,0.51,0.44,167.0,34.0,73.0,450.0,0.9353982300884955,0.5033112582781457,0.4241379310344828,0.8502202643171806,1057.0,456.0,123.0,193.0
804,67.69638061523438,adam,14,9,23,10,0.61,0.49,129.0,49.0,75.0,317.0,0.9336283185840708,0.6501103752759382,0.5551724137931034,0.7841409691629956,1055.0,589.0,161.0,178.0
805,74.22771453857422,sgd,14,9,23,10,0.43,0.53,204.0,60.0,23.0,232.0,0.9796460176991151,0.7439293598233996,0.296551724137931,0.73568281938326,1107.0,674.0,86.0,167.0
806,45.63106894493103,adam,14,9,25,10,0.5,0.41,180.0,17.0,39.0,599.0,0.9654867256637168,0.33885209713024284,0.3793103448275862,0.9251101321585903,1091.0,307.0,110.0,210.0
807,62.31244206428528,sgd,14,9,25,10,0.49,0.47,185.0,37.0,32.0,390.0,0.9716814159292035,0.5695364238410596,0.3620689655172414,0.8370044052863436,1098.0,516.0,105.0,190.0
808,36.716681718826294,adam,14,9,27,10,0.57,0.37,138.0,15.0,88.0,702.0,0.9221238938053097,0.2251655629139073,0.5241379310344828,0.933920704845815,1042.0,204.0,152.0,212.0
809,54.01588678359985,sgd,14,9,27,10,0.49,0.44,181.0,24.0,48.0,497.0,0.9575221238938053,0.45143487858719644,0.3758620689655172,0.8942731277533039,1082.0,409.0,109.0,203.0
810,41.57105088233948,adam,14,9,29,10,0.54,0.4,171.0,8.0,28.0,654.0,0.9752212389380531,0.2781456953642384,0.4103448275862069,0.9647577092511013,1102.0,252.0,119.0,219.0
811,63.548099994659424,sgd,14,9,29,10,0.49,0.48,187.0,37.0,28.0,376.0,0.9752212389380531,0.5849889624724062,0.35517241379310344,0.8370044052863436,1102.0,530.0,103.0,190.0
812,63.10679316520691,adam,14,11,3,10,0.57,0.47,164.0,45.0,30.0,373.0,0.9734513274336283,0.5883002207505519,0.43448275862068964,0.801762114537445,1100.0,533.0,126.0,182.0
813,72.02118039131165,sgd,14,11,3,10,0.38,0.52,219.0,56.0,12.0,261.0,0.9893805309734514,0.7119205298013245,0.24482758620689654,0.7533039647577092,1118.0,645.0,71.0,171.0
814,38.0405992269516,adam,14,11,5,10,0.63,0.38,129.0,12.0,57.0,690.0,0.9495575221238938,0.23841059602649006,0.5551724137931034,0.947136563876652,1073.0,216.0,161.0,215.0
815,33.62753689289093,sgd,14,11,5,10,0.5,0.37,119.0,8.0,225.0,744.0,0.8008849557522124,0.17880794701986755,0.5896551724137931,0.9647577092511013,905.0,162.0,171.0,219.0
816,51.456308364868164,adam,14,11,7,10,0.58,0.43,155.0,23.0,41.0,527.0,0.963716814159292,0.41832229580573954,0.46551724137931033,0.8986784140969163,1089.0,379.0,135.0,204.0
817,69.54987049102783,sgd,14,11,7,10,0.43,0.51,202.0,46.0,33.0,299.0,0.9707964601769912,0.6699779249448123,0.30344827586206896,0.7973568281938326,1097.0,607.0,88.0,181.0
818,49.24978017807007,adam,14,11,9,10,0.6,0.41,149.0,24.0,37.0,551.0,0.9672566371681416,0.39183222958057395,0.4862068965517241,0.8942731277533039,1093.0,355.0,141.0,203.0
819,54.10414934158325,sgd,14,11,9,10,0.48,0.44,192.0,23.0,24.0,497.0,0.9787610619469026,0.45143487858719644,0.33793103448275863,0.8986784140969163,1106.0,409.0,98.0,204.0
820,46.77846431732178,adam,14,11,11,10,0.58,0.41,158.0,19.0,32.0,584.0,0.9716814159292035,0.3554083885209713,0.45517241379310347,0.9162995594713657,1098.0,322.0,132.0,208.0
821,65.31332731246948,sgd,14,11,11,10,0.51,0.49,135.0,35.0,163.0,358.0,0.8557522123893805,0.6048565121412803,0.5344827586206896,0.8458149779735683,967.0,548.0,155.0,192.0
822,41.835832595825195,adam,14,11,13,10,0.57,0.39,149.0,14.0,63.0,645.0,0.9442477876106194,0.28807947019867547,0.4862068965517241,0.9383259911894273,1067.0,261.0,141.0,213.0
823,55.86937069892883,sgd,14,11,13,10,0.5,0.45,187.0,23.0,20.0,477.0,0.9823008849557522,0.4735099337748344,0.35517241379310344,0.8986784140969163,1110.0,429.0,103.0,204.0
824,46.33715748786926,adam,14,11,15,10,0.63,0.41,146.0,19.0,26.0,589.0,0.9769911504424779,0.3498896247240618,0.496551724137931,0.9162995594713657,1104.0,317.0,144.0,208.0
825,47.749337553977966,sgd,14,11,15,10,0.49,0.41,177.0,18.0,61.0,574.0,0.9460176991150443,0.36644591611479027,0.3896551724137931,0.920704845814978,1069.0,332.0,113.0,209.0
